label,text
0,Anything...
0,"Yep, the great loxahatchee xmas tree burning of &lt;#&gt; starts in an hour"
0,Have you started in skye
0,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt; charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks"
0,Carry on not disturbing both of you
0,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less."
0,ITS A LAPTOP TAKE IT WITH YOU.
0,I dont know why she.s not getting your messages
0,Big brotherâs really scraped the barrel with this shower of social misfits
1,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at Â£350! Dial [PHONE] to claim - National Rate Call. Bx526, SW73SS"
0,Love it! The girls at the office may wonder why you are smiling but sore...
0,I have lost 10 kilos as of today!
0,K k :-):-) then watch some films.
0,Dont let studying stress you out. L8r.
0,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!
0,how tall are you princess?
0,Its like that hotel dusk game i think. You solve puzzles in a area thing
0,soon you will have the real thing princess! Do i make you wet? :)
0,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
1,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!"
0,What time you think you'll have it? Need to know when I should be near campus
0,No did you check? I got his detailed message now
0,R u meeting da ge at nite tmr?
1,This message is brought to you by GMW Ltd. and is not connected to the
1,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
0,Ok going to sleep. Hope i can meet her.
0,I am in escape theatre now. . Going to watch KAVALAN in a few minutes
1,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
0,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
0,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?
0,I'm serious. You are in the money base
0,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
1,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call [PHONE] (10p/min). 2 stop texts call [PHONE]"
0,You made my day. Do have a great day too.
0,Haha okay... Today weekend leh...
0,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.
0,Dont show yourself. How far. Put new pictures up on facebook.
0,You can jot down things you want to remember later.
0,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
0,You do what all you like
1,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066
0,Nope i waiting in sch 4 daddy...
1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: [URL] STOP? Send STOP FRND to 62468
0,Hi where you. You in home or calicut?
0,HARD BUT TRUE: How much you show &amp; express your love to someone....that much it will hurt when they leave you or you get seperated...!é¥â¾??ã¨ud evening...
0,I guess it is useless calling u 4 something important.
0,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . . &lt;#&gt; . Good listener &lt;#&gt; . Organizer &lt;#&gt; . Good boyfriend &lt;#&gt; . Very clean &lt;#&gt; . Sympathetic &lt;#&gt; . Athletic &lt;#&gt; . Warm . . . &lt;#&gt; . Courageous &lt;#&gt; . Determined &lt;#&gt; . True &lt;#&gt; . Dependable &lt;#&gt; . Intelligent . . . &lt;#&gt; . Psychologist &lt;#&gt; . Pest exterminator &lt;#&gt; . Psychiatrist &lt;#&gt; . Healer . . &lt;#&gt; . Stylist &lt;#&gt; . Driver . . Aaniye pudunga venaam..
1,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?
1,Free Msg: Ringtone!From: [URL] widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05
0,Remember to ask alex about his pizza
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
0,Lmao. Take a pic and send it to me.
0,Still i have not checked it da. . .
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
0,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..
0,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
0,"Damn, can you make it tonight or do you want to just wait til tomorrow"
0,Ã comin to fetch us oredi...
0,I can ask around but there's not a lot in terms of mids up here
0,Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.
0,You've always been the brainy one.
0,Shant disturb u anymore... Jia you...
0,Just got outta class gonna go gym.
0,"Actually nvm, got hella cash, we still on for &lt;#&gt; ish?"
0,"I can. But it will tell quite long, cos i haven't finish my film yet..."
0,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
0,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?"
1,"HOT LIVE FANTASIES call now [PHONE] Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
0,Change windows logoff sound..
0,Oh k k:)but he is not a big hitter.anyway good
1,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or Â£250 cash every wk.TXT GREAT to 80878 [URL] [PHONE]"
0,And he's apparently bffs with carly quick now
0,I hope your pee burns tonite.
0,Hello- thanx for taking that call. I got a job! Starts on monday!
0,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it...."
0,I am on the way to ur home
0,Re your call; You didn't see my facebook huh?
0,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
0,* You gonna ring this weekend or wot?
0,I need to come home and give you some good lovin...
0,Ok.. Ã finishing soon?
0,Aight ill get on fb in a couple minutes
0,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
0,Ok.
0,S.i think he is waste for rr..
1,"Today's Offer! Claim ur Â£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs [PHONE]. Â£3.00 Sub. 16 . Unsub reply X"
1,FREE entry into our Â£250 weekly competition just text the word WIN to 80086 NOW. 18 T&C [URL]
0,What happen dear tell me
0,Crucify is c not s. You should have told me earlier.
0,U WILL SWITCH YOUR FONE ON DAMMIT!!
0,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
0,Tell them u have a headache and just want to use 1 hour of sick time.
1,Please CALL [PHONE] immediately as there is an urgent message waiting for you
0,... Are you in the pub?
0,Now only i reached home. . . I am very tired now. . I will come tomorro
0,Well good morning mr . Hows london treatin' ya treacle?
0,"aight we can pick some up, you open before tonight?"
0,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
0,Indeed and by the way it was either or - not both !
0,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.
1,"This is the 2nd attempt to contract U, you have won this weeks top prize of either Â£1000 cash or Â£200 prize. Just call [PHONE]"
0,They just talking thats it de. They wont any other.
1,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on [PHONE] to update now! or2stoptxt
0,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
0,How is it possible to teach you. And where.
0,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
0,Left dessert. U wan me 2 go suntec look 4 u?
0,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
0,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!"
0,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers,"
0,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them &lt;#&gt; sent msg i wil explain u later."
0,We're done...
0,No one interested. May be some business plan.
0,Ok. I only ask abt e movie. U wan ktv oso?
0,I dont have that much image in class.
1,Uâve Bin Awarded Â£50 to Play 4 Instant Cash. Call [PHONE] To Claim. EVERY 9th Player Wins Min Â£50-Â£500. OptOut [PHONE]
0,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
0,Aiyo a bit pai seh Ã¼ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
0,I know you are. Can you pls open the back?
0,Thats cool. i am a gentleman and will treat you with dignity and respect.
0,I'll let you know when it kicks in
0,You still at the game?
1,[PHONE] URGENT! This is the 2nd attempt to contact U!U have WON Â£1250 CALL [PHONE] b[PHONE] T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxÂ£7. 50
0,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
0,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
0,I uploaded mine to Facebook
0,But i'm really really broke oh. No amount is too small even &lt;#&gt;
0,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
1,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call [PHONE].
0,have * good weekend.
0,Do I? I thought I put it back in the box
0,Lol yes. But it will add some spice to your day.
0,Hanging out with my brother and his family
0,Are there TA jobs available? Let me know please cos i really need to start working
0,She went to attend another two rounds today..but still did't reach home..
0,This pain couldn't have come at a worse time.
0,K.then any other special?
0,Hey they r not watching movie tonight so i'll prob b home early...
0,I didnt get anything da
0,Where are the garage keys? They aren't on the bookshelf
1,You have WON a guaranteed Â£1000 cash or a Â£2000 prize. To claim yr prize call our customer service representative on [PHONE] between 10am-7pm Cost 10p
0,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money."
0,Pandy joined 4w technologies today.he got job..
0,Yo we are watching a movie on netflix
0,"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?"
0,Keep my payasam there if rinu brings
0,Becoz its &lt;#&gt; jan whn al the post ofice is in holiday so she cn go fr the post ofice...got it duffer
0,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
